k_number,device_name,applicant,decision_date,date_received,product_code,advisory_committee_description,decision_description,clearance_type,statement_or_summary,review_advisory_committee,country_code,city,state,fda_summary_url
K251281,Nova Max Creat eGFR Monitoring System,Nova Biomedical Corporation,2026-01-21,2025-04-24,SHB,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251281.pdf
K252206,"Nova Allegro UACR Assay, Nova Allegro Analyzer",Nova Biomedical Corporation,2026-01-09,2025-07-14,CGX,Clinical Chemistry,Substantially Equivalent,Dual Track,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K252206.pdf
K221326,"Nova Allegro HbA1c Assay, Nova Allegro Analyzer",Nova Biomedical Corporation,2024-11-22,2022-05-06,LCP,Hematology,Substantially Equivalent,Dual Track,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221326.pdf
K221813,"Nova Allegro UACR Assay, Nova Allegro Analyzer",Nova Biomedical Corporation,2024-11-19,2022-06-22,CGX,Clinical Chemistry,Substantially Equivalent,Dual Track,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221813.pdf
K232075,StatStrip Glucose Hospital Meter System,Nova Biomedical Corporation,2024-02-23,2023-07-12,PZI,Clinical Chemistry,Substantially Equivalent,Dual Track,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232075.pdf
K221900,Stat Profile Prime Plus Analyzer System,Nova Biomedical Corporation,2023-09-29,2022-06-30,CHL,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221900.pdf
K203549,Nova Primary Glucose Analyzer System,Nova Biomedical Corporation,2022-10-18,2020-12-04,CGA,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Waltham,ME,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K203549.pdf
K200403,Stat Profile Prime Plus Analyzer System,Nova Biomedical Corporation,2020-04-14,2020-02-19,JGS,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200403.pdf
K200204,Stat Profile Prime Plus Analyzer System,Nova Biomedical Corporation,2020-04-06,2020-01-28,GGZ,Hematology,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200204.pdf
K200349,Stat Profile Prime Plus Analyzer System,Nova Biomedical Corporation,2020-03-13,2020-02-12,CGA,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200349.pdf
K193246,Stat Profile Prime Plus Analyzer System,Nova Biomedical Corporation,2020-01-24,2019-11-25,CHL,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193246.pdf
K191626,Stat Profile Prime ES Comp Plus Analyzer System,Nova Biomedical Corporation,2019-08-16,2019-06-18,JFP,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191626.pdf
K191365,Stat Profile Prime ES Comp Plus Analyzer System,Nova Biomedical Corporation,2019-07-19,2019-05-22,JGS,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191365.pdf
K182552,StatStrip Xpress Glucose Hospital Meter System,Nova Biomedical Corporation,2018-12-13,2018-09-17,PZI,Clinical Chemistry,Substantially Equivalent,Dual Track,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K182552.pdf
K182549,StatStrip Xpress 2 Glucose Hospital Meter System,Nova Biomedical Corporation,2018-12-13,2018-09-17,PZI,Clinical Chemistry,Substantially Equivalent,Dual Track,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K182549.pdf
K180340,Stat Profile Prime Plus Analyzer System,Nova Biomedical Corporation,2018-09-26,2018-02-07,CGA,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K180340.pdf
K180186,Stat Profile Prime Plus Analyzer System,Nova Biomedical Corporation,2018-08-23,2018-01-23,GGZ,Hematology,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K180186.pdf
K180428,Stat Profile Prime Plus Analyzer System,Nova Biomedical Corporation,2018-08-15,2018-02-16,JGS,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K180428.pdf
K173797,Stat Profile Prime Plus Analyzer System,Nova Biomedical Corporation,2018-07-17,2017-12-14,CHL,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K173797.pdf
K181043,StatStrip Glucose Hospital Meter System,Nova Biomedical Corporation,2018-07-12,2018-04-19,PZI,Clinical Chemistry,Substantially Equivalent,Dual Track,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K181043.pdf
K170464,StatStrip Xpress Blood Glucose Monitoring System,Nova Biomedical Corporation,2017-11-07,2017-02-15,NBW,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K170464.pdf
K171059,Nova StatSensor Creatinine Hospital Meter System,Nova Biomedical Corporation,2017-05-26,2017-04-10,CGL,Clinical Chemistry,Substantially Equivalent,Special,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K171059.pdf
K160990,Nova Max Uric Acid Monitoring System,Nova Biomedical Corporation,2017-04-11,2016-04-08,PTC,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K160990.pdf
K163490,StatStrip Xpress 2 Glucose Hospital Meter System,Nova Biomedical Corporation,2017-01-06,2016-12-12,PZI,Clinical Chemistry,Substantially Equivalent,Special,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K163490.pdf
K161856,StatStrip Xpress Glucose Hospital Meter System,Nova Biomedical Corporation,2016-11-15,2016-07-06,PZI,Clinical Chemistry,Substantially Equivalent,Special,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K161856.pdf
K160156,StatStrip Xpress Blood Glucose Monitoring System,Nova Biomedical Corporation,2016-06-23,2016-01-22,NBW,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K160156.pdf
K152986,StatStrip Xpress 2 Glucose Hospital Meter System,Nova Biomedical Corporation,2016-01-27,2015-10-09,PZI,Clinical Chemistry,Substantially Equivalent,Special,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf15/K152986.pdf
K151982,Stat Profile Prime ABG Analyzer System,Nova Biomedical Corporation,2015-09-10,2015-07-17,CHL,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf15/K151982.pdf
K141907,"STAT PROFILE PRIME CCS ANALYZER SYSTEM, STAT PROFILE PRIME AUTO QC CARTRIDGE CCS, STAT PROFILE PRIME AMPULED CONTROL ABG/CCS, STAT PROFILE PRIME CALIBRTOR CARTRIDGE CCS/CCS COMP, NOVA LINEARITY STANDARD SET A",Nova Biomedical Corporation,2015-05-29,2014-07-15,CHL,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf14/K141907.pdf
K150461,StatStrip Xpress Glucose Hospital Meter System,Nova Biomedical Corporation,2015-05-20,2015-02-23,PZI,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf15/K150461.pdf
K150281,StatStrip Glucose Hospital Meter,Nova Biomedical Corporation,2015-05-06,2015-02-05,PZI,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf15/K150281.pdf
K142220,"Stat Profile Prime ABG Analyzer System (incl. Controls, Calibrators)",Nova Biomedical Corporation,2014-10-17,2014-08-12,CHL,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf14/K142220.pdf
K132121,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,Nova Biomedical Corporation,2014-09-24,2013-07-10,PZI,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf13/K132121.pdf
K131703,NOVA STAT PROFILE PRIME CCS ANALYZER SYSTEM,Nova Biomedical Corporation,2014-03-25,2013-06-11,CHL,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf13/K131703.pdf
K131013,"FOCUS BLOOD GLUCOSE MONITORING SYSTEM, FOCUS PRO BLOOD GLUCOSE MONITORING SYSTEM",Nova Biomedical Corporation,2013-10-17,2013-04-11,NBW,Clinical Chemistry,Substantially Equivalent,Traditional,Summary,CH,US,Walham,MA,https://www.accessdata.fda.gov/cdrh_docs/pdf13/K131013.pdf
