product_res_number,event_date_initiated,event_date_posted,recall_status,product_code,root_cause_description,reason_for_recall,product_description,recalling_firm,distribution_pattern,action
Z-0681-2025,2024-11-20,2024-12-20,"Open, Classified",PZI,Software design,"A software bug within the Gen 2 StatStrip Hospital Meter firmware leads to transmission of erroneous glucose patient test results to a healthcare institution's data management system (DMS) at healthcare sites using WiFi if a user navigates to the Review Results screen while the meter is in the process of transmitting the current glucose test result to the DMS.  The risk of this software defect is erroneously high or low glucose results being documented in a patient's medical record, which may lead to incorrect treatment.",StatStrip Glucose Hospital Meter System. Model/Catalog Number: 63685. Prescription use blood glucose meter for near-patient testing.,Nova Biomedical Corporation,"Distribution US Nationwide including Puerto Rico, Germany, Italy, Israel, Switzerland, Australia, Great Britain, and the Netherlands.","Nova Biomedical notified consignees via letter on 11/20/2024. Consignees were instructed that all current Nova StatStrip customers that have gone Live with their new meters recently received a meter software update (v.0.0.13.45 or above) from Nova Biomedical to eliminate the potential risk described above. All remaining customers that have been shipped StatStrip meters impacted by this field correction, will have their meter software updated by Nova Biomedical or local dealer prior to going ""Live"" with their new meters."
Z-0682-2025,2024-11-20,2024-12-20,"Open, Classified",N/A,Software design,A software bug within the meter firmware leads to transmission of erroneous glucose and/or ketone patient test results to a healthcare institution's data management system (DMS) at healthcare sites using WiFi if a user navigates to the Review Results screen while the meter is in the process of transmitting the current test result to the DMS.,StatStrip Glucose Ketone Hospital Meter System. Model/Catalog Number: 63683. Prescription use blood glucose ketone meter for near-patient testing,Nova Biomedical Corporation,"Distribution US Nationwide including Puerto Rico, Germany, Italy, Israel, Switzerland, Australia, Great Britain, and the Netherlands.","Nova Biomedical notified consignees via letter on 11/20/2024. Consignees were instructed that all current Nova StatStrip customers that have gone Live with their new meters recently received a meter software update (v.0.0.13.45 or above) from Nova Biomedical to eliminate the potential risk described above. All remaining customers that have been shipped StatStrip meters impacted by this field correction, will have their meter software updated by Nova Biomedical or local dealer prior to going ""Live"" with their new meters."
Z-0683-2025,2024-11-20,2024-12-20,"Open, Classified",N/A,Software design,A software bug within the meter firmware leads to transmission of erroneous glucose and/or ketone patient test results to a healthcare institution's data management system (DMS) at healthcare sites using WiFi if a user navigates to the Review Results screen while the meter is in the process of transmitting the current test result to the DMS.,StatStrip Glucose Ketone (mmol/L) Hospital Meter System. Model/Catalog Number: 63910. Prescription use blood glucose ketone meter for near-patient testing,Nova Biomedical Corporation,"Distribution US Nationwide including Puerto Rico, Germany, Italy, Israel, Switzerland, Australia, Great Britain, and the Netherlands.","Nova Biomedical notified consignees via letter on 11/20/2024. Consignees were instructed that all current Nova StatStrip customers that have gone Live with their new meters recently received a meter software update (v.0.0.13.45 or above) from Nova Biomedical to eliminate the potential risk described above. All remaining customers that have been shipped StatStrip meters impacted by this field correction, will have their meter software updated by Nova Biomedical or local dealer prior to going ""Live"" with their new meters."
Z-0207-2024,2023-09-18,2023-11-01,"Open, Classified",JGS,Process design,Potential risk of reporting erroneous creatinine patient results associated with the initial start-up of a new BUN/Creatinine Sensor Cartridge. The potential risk is within the first 2-4 hours after cartridge installation that may not be identified by traditional Quality Control practices.,"Nova Biomedical Prime Plus Analyzer -Intended to measure certain gases in blood, serum, plasma or pH of blood, serum, and plasma.
  
(1) PN 57400 Stat Profile Prime Plus Analyzer
(2) PN 59508 Stat Profile Prime Plus Analyzer, Remanufactured",Nova Biomedical Corporation,"Nationwide
Foreign:
Country
Algeria
Australia
Austria
Bangladesh
Benin
Bolivia
Brazil
Canada
Chile
China
Colombia
Croatia
CYPRUS
Czech Republic
Ecuador
Egypt
El Salvador
Finland
France
Germany
Greece
Guatemala
India
Indonesia
Ireland
Israel
Italy
Japan
JORDAN
Kazakhstan
Kenya
Kurdistan, Iraq
Kuwait
Malaysia
Malta
Mexico
Moldova
Morocco
Nepal
Netherlands
New Zealand
Oman
Pakistan
Palestine
Paraguay
Paraquay
Peru
Philippines
Poland
Puerto Rico
Qatar
Republic of Panama
Romania
Russia
Rwanda
Saudi Arabia
Serbia
Slovenia
South Africa
South Korea
Spain
Sri Lanka
Sudan
Sweden
Switzerland
Syria
Thailand
Trinidad
Trinidad,W.I.
Tunisia
UK
Ukraine
United Arab Emerites
Uruguay
Vietnam","Nova Biomedical  Customer Success Managers starting 9/18/23 contacted consignees directly via telephone,  to review the bulletin with the consignee DRP, verify an email to send the bulletin to them, and then immediately forward the bulletin to them so they can share within their own healthcare facility.
Letter states the reason for recall, health risk and action to take:
Nova Biomedical recommends that your healthcare facility take one of the following risk mitigation steps after a BUN/Creatinine Sensor Cartridge replacement to reduce the possibility of this issue occurring in your facility until your analyzers have received a software update.

""	If your analyzer tests patient samples frequently, initiate a manual analyzer calibration every 30 minutes within the first 2 hours, and then every hour for the next 2 hours after cartridge replacement.
""	If your analyzer tests patient samples infrequently, within the first 4 hours after cartridge replacement, initiate a manual analyzer calibration prior to performing a patient test.
Until your Prime Plus analyzer(s) software is updated, if your healthcare facility experiences an erroneous creatinine result or adverse event after a new sensor cartridge installation, Nova encourages you to contact Nova Biomedical or your authorized distributor to properly document the incident.  For adverse event(s), Nova encourages you to report the details using the MedWatch Online Voluntary Reporting Form, MedWatch Online Voluntary Reporting Form (fda.gov).

INTERNAL HEALTHCARE FACILITY COMMUNICATION:

This Field Correction Notice should be distributed to all those within your organization who need to be aware of this issue.  Please notify other parties affiliated with your organization, which are affected by this notice. Please maintain awareness of this notice until the issue has been corrected with a scheduled software update. 
If you have any questions on the contents of this notice, would like to discuss other risk mitigation options"
Z-0208-2024,2023-09-18,2023-11-01,"Open, Classified",JGS,Process design,Potential risk of reporting erroneous creatinine patient results associated with the initial start-up of a new BUN/Creatinine Sensor Cartridge. The potential risk is within the first 2-4 hours after cartridge installation that may not be identified by traditional Quality Control practices.,"Nova Stat Profile Prime Plus POC Analyzer (CE)-Intended to measure certain gases in blood, serum, plasma or pH of blood, serum, and plasma.

(1) PN 63368 Stat Profile Prime Plus POC Analyzer
(2) PN 63369 Stat Profile Prime Plus POC Analyzer, Remanufactured


P/N: 57400, 63368",Nova Biomedical Corporation,"Nationwide
Foreign:
Country
Algeria
Australia
Austria
Bangladesh
Benin
Bolivia
Brazil
Canada
Chile
China
Colombia
Croatia
CYPRUS
Czech Republic
Ecuador
Egypt
El Salvador
Finland
France
Germany
Greece
Guatemala
India
Indonesia
Ireland
Israel
Italy
Japan
JORDAN
Kazakhstan
Kenya
Kurdistan, Iraq
Kuwait
Malaysia
Malta
Mexico
Moldova
Morocco
Nepal
Netherlands
New Zealand
Oman
Pakistan
Palestine
Paraguay
Paraquay
Peru
Philippines
Poland
Puerto Rico
Qatar
Republic of Panama
Romania
Russia
Rwanda
Saudi Arabia
Serbia
Slovenia
South Africa
South Korea
Spain
Sri Lanka
Sudan
Sweden
Switzerland
Syria
Thailand
Trinidad
Trinidad,W.I.
Tunisia
UK
Ukraine
United Arab Emerites
Uruguay
Vietnam","Nova Biomedical  Customer Success Managers starting 9/18/23 contacted consignees directly via telephone,  to review the bulletin with the consignee DRP, verify an email to send the bulletin to them, and then immediately forward the bulletin to them so they can share within their own healthcare facility.
Letter states the reason for recall, health risk and action to take:
Nova Biomedical recommends that your healthcare facility take one of the following risk mitigation steps after a BUN/Creatinine Sensor Cartridge replacement to reduce the possibility of this issue occurring in your facility until your analyzers have received a software update.

""	If your analyzer tests patient samples frequently, initiate a manual analyzer calibration every 30 minutes within the first 2 hours, and then every hour for the next 2 hours after cartridge replacement.
""	If your analyzer tests patient samples infrequently, within the first 4 hours after cartridge replacement, initiate a manual analyzer calibration prior to performing a patient test.
Until your Prime Plus analyzer(s) software is updated, if your healthcare facility experiences an erroneous creatinine result or adverse event after a new sensor cartridge installation, Nova encourages you to contact Nova Biomedical or your authorized distributor to properly document the incident.  For adverse event(s), Nova encourages you to report the details using the MedWatch Online Voluntary Reporting Form, MedWatch Online Voluntary Reporting Form (fda.gov).

INTERNAL HEALTHCARE FACILITY COMMUNICATION:

This Field Correction Notice should be distributed to all those within your organization who need to be aware of this issue.  Please notify other parties affiliated with your organization, which are affected by this notice. Please maintain awareness of this notice until the issue has been corrected with a scheduled software update. 
If you have any questions on the contents of this notice, would like to discuss other risk mitigation options"
Z-2732-2017,2017-06-19,,Terminated,CHL,Software design,"Software- scheduled A-QC analysis could initiate prior
to a patient result being released by the operator and result in the pending patient result being overwritten
with the A-QC test results.","Nova Biomedical Stat Profile Prime Analyzer as follows:
PN 52855 Stat Profile Prime ABG Analyzer
PN 53655 Stat Profile Prime ABG Analyzer with Scanner
PN 52856 Stat Profile Prime CCS Analyzer
PN 53656 Stat Profile Prime CCS Analyzer with Scanner
PN 53657 Stat Profile Prime CCS Comp Analyzer with Scanner
PN 52857 Stat Profile Prime CCS Comp Analyzer
Blood Gas/Electrolyte/Metabolite/CO-Oximetry Analyzer",Nova Biomedical Corporation,"Worldwide Distribution - US (Nationwide)
Foreign:
Albania
Algeria
Argentina
Australia
Austria
Bangladesh
Benin
Bolivia
Brazil
Canada
Chile
China
Colombia
Costa Rica
Czech Republic
ECUADOR
Egypt
El Salvador
Finland
France
Germany
Ghana
Greece
Guatemala
Guyana
Honduras
Hong Kong
Hungary
ICELAND
India
Iran
Israel
Italy
Ivory Coast
Japan
Jordan
Kenya
Korea
Latvia
Macedonia
Malaysia
Mexico
Nepal
Netherlands
Nigeria
Pakistan
Pakistan
Palestine
Peru
Philippines
Poland
Puerto Rico
Republic of Panama
Republica Dominicana
Russia
Saudi Arabia
Slovak Republic
Slovenia
South Africa
Sri Lanka
Switzerland
Taiwan
Thailand
The Netherlands
Trinidad,W.I.
Tunisia
Turkey
UK
Uruguay
Vietnam","Nova Biomedical issued Urgent Field Correction Notice on June 19, 2017, to all affected customers.  The letter  advises users of the problem and Nova Biomedical or an authorized Nova Biomedical representative will schedule a no charge update of your Stat Profile Prime Analyzer software to version VI1.0.883.0.  A representative will contact customers to schedule this update.  Questions: contact Nova Biomedical Technical Support at 1-800-545-6682, in Canada contact us at 1-800-263-5999, or outside of N. America contact your authorized Nova Biomedical subsidiary or distributor.
For questions regarding this recall call 781-647-3700."
Z-0650-2014,2013-10-10,2014-01-09,Terminated,CGA,Component design/selection,Revised Battery Instructions for Removal and Expiration  Date due to battery swelling and cell leakage,"Nova StatStrip/StatSensor Hospital Blood Glucose Meter; Nova StatStrip Lactate Hospital Meter System; Nova StatSensor Creatinine Hospital Meter,

Rechargeable Lithium Batteries
Single: 46626; 4 Pack: 46827; 5 Pack: 50436.

For Point-Of-Care usage in the quantitative determination of Glucose in whole blood.",Nova Biomedical Corporation,Nationwide Distribution.,"On November 18, 2013, an URGENT Field Correction Letter was sent to all StatStrip Glucose Hospital meter, StatStrip Lactate Hospital Meter and StatSensor Creatinine Hospital Meter customers via email to the Point of Care Coordinator to alert users that lithium batteries that are utilized beyond their intended useful life may swell and/or crack posing a potential safety hazard.  In some cases, the swelling may potentially cause the battery door on the meter to dislodge and render the meter inoperable."
Z-1897-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (50 Count Retail)
Catalog Number: 43437

Product Usage:   The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
Z-1898-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (50 Count DME)
Catalog Number: 43523

Product Usage:   The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
Z-1899-2013,2013-07-15,2013-08-09,Terminated,NBW,Material/Component Contamination,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (10 Count Boxed)
Catalog Number: 43590

Product Usage:   The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",Nova Biomedical Corporation,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua","Nova Biomedical U.S.A  issued an Urgent Medical Device Voluntary Recall Letter dated July 19, 2013 via registered/certified letters to affected customers.  The letter identified the affected product, problem and actions to be taken.  Customers were instructed to immediately discontinue use of the affected product; contact Nova Diabetes Care Customer Service for replacement strips; do not stop testing blood glucose while waiting for replacement strips; if affected strips must be used follow precautions provided in notification letter.  For questions call Nova Diabetes Care Customer Service at 1-800-681-7390.

."
