recall_number,classification,status,reason_for_recall,product_description,product_quantity,recall_initiation_date,report_date,voluntary_mandated,distribution_pattern,city,state,country
Z-0208-2024,Class II,Ongoing,Potential risk of reporting erroneous creatinine patient results associated with the initial start-up of a new BUN/Creatinine Sensor Cartridge. The potential risk is within the first 2-4 hours after cartridge installation that may not be identified by traditional Quality Control practices.,"Nova Stat Profile Prime Plus POC Analyzer (CE)-Intended to measure certain gases in blood, serum, plasma or pH of blood, serum, and plasma.    (1) PN 63368 Stat Profile Prime Plus POC Analyzer  (2) PN 63369 Stat Profile Prime Plus POC Analyzer, Remanufactured      P/N: 57400, 63368",161 units,20230918,20231108,Voluntary: Firm initiated,"Nationwide Foreign: Country Algeria Australia Austria Bangladesh Benin Bolivia Brazil Canada Chile China Colombia Croatia CYPRUS Czech Republic Ecuador Egypt El Salvador Finland France Germany Greece Guatemala India Indonesia Ireland Israel Italy Japan JORDAN Kazakhstan Kenya Kurdistan, Iraq Kuwait Malaysia Malta Mexico Moldova Morocco Nepal Netherlands New Zealand Oman Pakistan Palestine Paraguay Paraquay Peru Philippines Poland Puerto Rico Qatar Republic of Panama Romania Russia Rwanda Saudi Arabia Serbia Slovenia South Africa South Korea Spain Sri Lanka Sudan Sweden Switzerland Syria Thailand Trinidad Trinidad,W.I. Tunisia UK Ukraine United Arab Emerites Uruguay Vietnam",Waltham,MA,United States
Z-1900-2013,Class I,Terminated,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (100 Count Retail Canada)Catalog Number: 43955     Product Usage:   The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control","1,564,500 test strips",20130715,20130821,Voluntary: Firm initiated,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua",Waltham,MA,United States
Z-0650-2014,Class II,Terminated,Revised Battery Instructions for Removal and Expiration  Date due to battery swelling and cell leakage,"Nova StatStrip/StatSensor Hospital Blood Glucose Meter; Nova StatStrip Lactate Hospital Meter System; Nova StatSensor Creatinine Hospital Meter,    Rechargeable Lithium Batteries  Single: 46626; 4 Pack: 46827; 5 Pack: 50436.    For Point-Of-Care usage in the quantitative determination of Glucose in whole blood.","est. 200,000",20131010,20140115,Voluntary: Firm initiated,Nationwide Distribution.,Waltham,MA,United States
Z-0681-2025,Class I,Ongoing,"A software bug within the Gen 2 StatStrip Hospital Meter firmware leads to transmission of erroneous glucose patient test results to a healthcare institution's data management system (DMS) at healthcare sites using WiFi if a user navigates to the Review Results screen while the meter is in the process of transmitting the current glucose test result to the DMS.  The risk of this software defect is erroneously high or low glucose results being documented in a patient's medical record, which may lead to incorrect treatment.",StatStrip Glucose Hospital Meter System. Model/Catalog Number: 63685. Prescription use blood glucose meter for near-patient testing.,"2,365 units",20241120,20250101,Voluntary: Firm initiated,"Distribution US Nationwide including Puerto Rico, Germany, Italy, Israel, Switzerland, Australia, Great Britain, and the Netherlands.",Waltham,MA,United States
Z-1902-2013,Class I,Terminated,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (50 Count International  Catalog Number: 45512    Product usage:  The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control","366,140 test strips",20130715,20130821,Voluntary: Firm initiated,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua",Waltham,MA,United States
Z-0683-2025,Class I,Ongoing,A software bug within the meter firmware leads to transmission of erroneous glucose and/or ketone patient test results to a healthcare institution's data management system (DMS) at healthcare sites using WiFi if a user navigates to the Review Results screen while the meter is in the process of transmitting the current test result to the DMS.,StatStrip Glucose Ketone (mmol/L) Hospital Meter System. Model/Catalog Number: 63910. Prescription use blood glucose ketone meter for near-patient testing,"1,615 units",20241120,20250101,Voluntary: Firm initiated,"Distribution US Nationwide including Puerto Rico, Germany, Italy, Israel, Switzerland, Australia, Great Britain, and the Netherlands.",Waltham,MA,United States
Z-0207-2024,Class II,Ongoing,Potential risk of reporting erroneous creatinine patient results associated with the initial start-up of a new BUN/Creatinine Sensor Cartridge. The potential risk is within the first 2-4 hours after cartridge installation that may not be identified by traditional Quality Control practices.,"Nova Biomedical Prime Plus Analyzer -Intended to measure certain gases in blood, serum, plasma or pH of blood, serum, and plasma.      (1) PN 57400 Stat Profile Prime Plus Analyzer  (2) PN 59508 Stat Profile Prime Plus Analyzer, Remanufactured",1779 units: 438 US; 1341 OUS,20230918,20231108,Voluntary: Firm initiated,"Nationwide Foreign: Country Algeria Australia Austria Bangladesh Benin Bolivia Brazil Canada Chile China Colombia Croatia CYPRUS Czech Republic Ecuador Egypt El Salvador Finland France Germany Greece Guatemala India Indonesia Ireland Israel Italy Japan JORDAN Kazakhstan Kenya Kurdistan, Iraq Kuwait Malaysia Malta Mexico Moldova Morocco Nepal Netherlands New Zealand Oman Pakistan Palestine Paraguay Paraquay Peru Philippines Poland Puerto Rico Qatar Republic of Panama Romania Russia Rwanda Saudi Arabia Serbia Slovenia South Africa South Korea Spain Sri Lanka Sudan Sweden Switzerland Syria Thailand Trinidad Trinidad,W.I. Tunisia UK Ukraine United Arab Emerites Uruguay Vietnam",Waltham,MA,United States
Z-1904-2013,Class I,Terminated,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (10 Count Canada)Catalog Number: 43877    Product The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control","9,200",20130715,20130821,Voluntary: Firm initiated,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua",Waltham,MA,United States
Z-1906-2013,Class I,Terminated,Reports of false abnormally high glucose readings from test strips,"Nova Max Plus Monitor System (Kit w/10 Count Vials International)  Catalog Number: 45507    Product Usage:  The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control","13,600 kits",20130715,20130821,Voluntary: Firm initiated,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua",Waltham,MA,United States
Z-1901-2013,Class I,Terminated,Reports of false abnormally high glucose readings from test strips,"Nova Max Glucose Test Strips (10 Count Vials)  Catalog Number: 43604  These strips are kitted into Nova Max Glucose Test Strip System Kits 43435 and 45507    Product Usage:   The Nova Max Glucose Test Strips are for use with the Nova Max Family of Glucose Monitors (Nova Max, Nova Max Plus, Nova Max Link, BD Logic and Paradigm Link). These monitors are intended to be used for the quantitative measurement of glucose in fresh capillary whole blood. They are intended for use by people with diabetes mellitus in the home and by healthcare professionals in clinical settings as an aid to monitor the effectiveness of diabetes control",*Kitted into System Kits 43435 and 45507,20130715,20130821,Voluntary: Firm initiated,"Worldwide Distribution - USA Nationwide and the countries of  Chile, England , Peru, Nicaragua",Waltham,MA,United States
