registration_number,fei_number,firm_name,owner_operator,city,state,country,status,product_code,establishment_type,created_date,owner_operator_number
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GKR,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JPI,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GHS,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GKK,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GGZ,Remanufacture Medical Device; Manufacture Medical Device,2018-11-20,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JIN,Manufacture Device in the United States for Export Only,2018-02-12,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JGS,Manufacture Medical Device,2007-10-19,1219029
3004193489,3004193489,NOVA BIOMEDICAL CORPORATION DIABETES PRODUCTS,NOVA BIOMEDICAL CORP.,,,,1,PZI,Manufacture Medical Device for Another Party (Contract Manufacturer); Manufacture Medical Device,2015-06-12,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,GKF,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JJS,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CGZ,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,CEM,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
1219029,1219029,NOVA BIOMEDICAL CORPORATION,NOVA BIOMEDICAL CORP.,,,,1,JIX,Complaint File Establishment per 21 CFR 820.198; Manufacture Medical Device,2016-03-07,1219029
