report_number,date_received,event_type,brand,generic,model,problem,narrative
MW5189700,20260622,Malfunction,NOVA BIOMEDICAL GLUCOSE METER,PRESCRIPTION USE BLOOD GLUCOSE METER FOR NEAR-PATIENT TESTING,,,"(B)(6) / 16 NOVA GLUCOSE METERS WERE RECENTLY ONBOARDED AT (B)(6). THE CURRENT FIRMWARE (1.3) HAS A BARCODE SCANNING ISSUE: IF THE SCAN IS NOT ACCEPTED, THERE IS NO ALERT BUT INSTEAD THE METER WILL REVERT TO THE LAST ACCEPTED SCAN. QUALITY CONTROL HAS BEEN AFFECTED BECAUSE OF THIS ISSUE (LEVEL 3 SCANNED AND LEVEL 3 SOLUTION ADDED, METER DIDN'T ACCEPT SCAN SO REVERTED BACK TO LEVEL 1, AND QC FAILED BECAUSE RECORDED VALUE WAS NOT IN THE ACCEPTABLE RANGE FOR LEVEL 1). THERE IS A CONCERN THAT PATIENT TESTING COULD BE INCORRECTLY DOCUMENTED IF THE PATIENT SCAN IS NOT ACCEPTED AND THE METER REVERTS TO THE LAST ACCEPTED SCAN (A DIFFERENT PATIENT). NOVA COMPANY PLANS TO COORDINATE FIRMWARE UPDATE (TO 1.5) WITH GRAND ITASCA CLINIC & HOSPITAL LABORATORY. REPORTER JOB TITLE: PATIENT SAFETY AND REGULATORY LEAD / ADDITIONAL PRODUCT DETAILS: FIRMWARE 1.3.14.13."
1219029-2026-00037,20260601,Malfunction,STATSENSOR,"ELECTRODE, ION BASED, ENZYMATIC, CREATININE",,Low Test Results,DISCREPANT CREATININE RESULTS ON A PATIENT USING STATSENSOR METER COMPARED TO THE LAB. PATIENT WAS GIVEN CONTRAST FOR A CT SCAN BASED ON THE STATSENSOR RESULTS. | THE PATIENT WAS GIVEN CONTRAST FOR A CT SCAN THAT WAS NOT NEEDED. AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE HAS BEGUN BUT IS NOT YET COMPLETED. A SUPPLEMENTAL REPORT WILL BE ISSUED UPON COMPLETION OF THE INVESTIGATION.
1219029-2026-00036,20260601,Death,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,"GLUCOSE MONITORING SYSTEM IVD, POINT-OF-CARE",1.86,"Incorrect, Inadequate or Imprecise Result or Readings; Insufficient Device Problem Information","PER FDA REQUEST, PRODUCT CODE WAS ADJUSTED ACCORDINGLY. ATTEMPTS TO OBTAIN ADDITIONAL INFORMATION REGARDING THE INCIDENT WITH A DEATH OF A PATIENT IN RESPIRATORY FAILURE WERE MADE ON MAY 21ST AND MAY 28TH, 2026. THERE WAS NO RESPONSE FROM THE INITIAL REPORTER AND ADDITIONAL INFORMATION REGARDING TIMELINE OF EVENTS ARE UNAVAILABLE. IT WAS NOTED IN THE INITIAL REPORT THAT THE SAME METER AND TEST STRIPS WERE USED ON PATIENTS AFTER THE EVENT AND RESULTS WERE COMPARABLE TO THE LAB ANALYZER BEING USED. REQUESTS FOR RESULTS OF THE METER BEING USED AND THE LAB ANALYZER WERE REQUESTED BY THE TECHNICAL SUPPORT TEAM BUT WERE NOT PROVIDED. THE METER AND TEST STRIPS WERE NOT RETURNED TO NOVA BIOMEDICAL FOR FURTHER EVALUATION. RETAINED NOVA STATSTRIP GLUCOSE TEST STRIPS (LOT NUMBER 0325324249) WERE USED TO INVESTIGATE THE COMPLAINT. TESTING INCLUDED SAMPLES OF LINEARITY SOLUTION AND WHOLE BLOOD SPECIM | A DHR REVIEW WAS PERFORMED FOR THE REPORTED METER AND TEST STRIP LOTS. NO ABNORMALITIES OR CONCERNS WERE OBSERVED. THE DHR INDICATED THE RELEASED PRODUCT MET ALL SPECIFICATIONS. THE INITAL REPORTER NOTED THAT OTHER PATIENTS TESTED WITH THIS METER AND LOT NUMBER OF TEST STRIPS SHOWED RESULTS COMPARABLE TO THE LAB ANALYZER RESULTS ON THE SAME DAY. QC RESULTS WERE REPORTED AND WITHIN RANGE PRIOR TO TESTING. ADDITIONAL INFORMATION FROM THE INITIAL REPORTER REGARDING OTHER COMORBIDITIES OF THE PATIENT HAS NOT BEEN PROVIDED AT THE TIME OF THIS REPORT. THIS IS BEING FURTHER INVESTIGATED BY NOVA BI"
1219029-2026-00034,20260527,Malfunction,STATSTRIP,"GLUCOSE MONITORING SYSTEM IVD, POINT-OF-CARE",,Unable to Obtain Readings; Output Problem; No Apparent Adverse Event,A DHR REVIEW WAS PERFORMED FOR THE REPORTED TEST STRIPS. NO ABNORMALITIES OR CONCERNS WERE OBSERVED. THE DHR INDICATED THE RELEASED PRODUCT MET ALL SPECIFICATIONS. IT WAS NOTED BY THE REPORTER THAT THE ISSUE WAS RESOLVED WITH THE REPLACEMENT OF A NEW TEST STRIP LOT NUMBER. THIS COMPLAINT IS BEING FURTHER INVESTIGATED BY NOVA AND A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF THE INVESTIGATION. | THE CONSUMER WAS UNABLE TO GET A BLOOD GLUCOSE ON THE PATIENT BECAUSE THE TEST STRIPS WERE NOT PULLING THE BLOOD UP IN TO COMPLETE THE TEST. IT WAS REPORTED THAT NOT BEING ABLE TO TEST THE BLOOD SUGAR OF THE PATIENT WAS INTERFERING WITH THEIR CARE.
1219029-2026-00035,20260527,Malfunction,STATSTRIP,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,2.0,Connection Problem,"NOVA BIOMEDICAL RECEIVED ANONYMOUS MEDWATCH REPORT # MW5187509 WHICH ALLEGED DELAYS IN TREATMENT DUE TO CONNECTIVITY ISSUES WITH THE GEN 2 STATSTRIP METERS. NO CONTACT INFORMATION WAS PROVIDED SO FOLLOW UPS TO OBTAIN FURTHER DETAILS WERE NOT POSSIBLE. NO PRODUCT WAS RETURNED FOR ANALYSIS AND NO SPECIFIC SERIAL NUMBERS WERE PROVIDED. WITHOUT THE RETURNED PRODUCT, OR ANY SPECIFIC DETAILS, AN INVESTIGATION ON THE FAILED PRODUCT WAS NOT POSSIBLE. NO FURTHER ACTION IS RECOMMENDED AT THIS TIME. NOVA WILL CONTINUE TO MONITOR FOR THIS OR SIMILAR EVENTS. | PER ANONYMOUS MEDWATCH REPORT # MW5187509: ""NOVA GEN 2 GLUCOMETERS WITH REPEATED ISSUES CONNECTING TO NETWORKS AND DOWNLOADING RESULTS LEADING TO MANUAL ENTRY OF RESULTS, POTENTIAL DELAYS IN CARE. METERS ARE SOMETIMES NEEDING TO BE RESET MULTIPLE TIMES CAUSING PATIENTS TO HAVE MULTIPLE SAMPLES COLLECTED."""
1219029-2026-00033,20260522,Malfunction,STATSTRIP,"GLUCOSE MONITORING SYSTEM IVD, POINT-OF-CARE",,Patient Device Interaction Problem,ADDITIONAL INFORMATION REGARDING THIS COMPLAINT WAS RECEIVED AT A LATER TIME FROM THE REPORTER. PATIENT HAD TO BE DRAWN EACH TIME AND SEND TO CORE LABORATORY FOR GLUCOSE TESTING AS NO RESULTS WERE BEING PRODUCED. SAMPLES HAD TO BE DRAWN AND SENT TO THE CORE LABORATORY FOR TESTING INSTEAD OF A SMALLER AND LESS INVASIVE CAPILLARY TEST. THIS COMPLAINT IS BEING FURTHER INVESTIGATED BY NOVA AND A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON COMPLETION OF INVESTIGATION. NOVA WILL CONTINUE TO MONITOR FOR THIS OR SIMILAR EVENTS. | THE CONSUMER REPORTED GETTING A BAD SAMPLE ERROR (B-0) AND AM UNABLE TO USE THE NOVA BIOMEDICAL GLUCOSE METER ON THIS PATIENT.
1219029-2026-00031,20260521,Malfunction,STAT PROFILE,"SINGLE-CHANNEL CLINICAL CHEMISTRY ANALYSER IVD, POINT-OF-CARE",,Failure to Calibrate,"CUSTOMER SAID CARD HAS BEEN READING 0% SINCE (B)(6) 2026. THEY HAVE NOT BEEN ABLE TO RUN ANY SAMPLES SINCE (B)(6) 2026 AND DID NOT HAVE A BACKUP SENSOR CARD. A PATIENT WAS REROUTED BECAUSE THE SENSOR CARD COULD NOT BE BROUGHT UP TO USE OR REPLACED. | TO DATE, PRODUCT HAS NOT BEEN RETURNED TO NOVA BIOMEDICAL BUT TESTING OF RETAINED SENSOR CARDS WILL BE COMPLETED. A SUPPLEMENTAL REPORT WILL BE SUBMITTED ONCE TESTING IS COMPLETED. NOVA WILL CONTINUE TO MONITOR FOR THIS OR SIMILAR EVENTS."
1219029-2026-00032,20260521,Malfunction,STATSTRIP HOSPITAL METER SYSTEM,"GLUCOSE MONITORING SYSTEM IVD, POINT-OF-CARE",,"Incorrect, Inadequate or Imprecise Result or Readings","ADDITIONAL INFORMATION FROM THE END USER WAS RECEIVED AFTER THE INITIAL COMPLAINT AND CONFIRMED THAT THE PATIENT WAS TREATED GLUCOSE GEL. THE ERRONEOUS RESULTS WERE OBSERVED USING NOVA STATSTRIP GLUCOSE TEST STRIPS (LOT # 0325252249 AND LOT # 0325324249). THIS INVESTIGATION WAS PERFORMED USING RETAINED NOVA STATSTRIP GLUCOSE TEST STRIPS (LOT # 0325253309 AND 0325324249) AND USING RETAINED NOVA STATSTRIP GLUCOSE METERS IN AN EFFORT TO REPRODUCE THE REPORTED RESULTS. IT SHOULD BE NOTED THAT RETAINS OF NOVA STATSTRIP GLUCOSE TEST STRIPS LOT # 0325252249 WERE NOT AVAILABLE FOR TESTING. CONSEQUENTLY, THE SUB LOT # 0325253309 WAS USED IN ITS PLACE. TESTING INCLUDED FIVE (5) LEVELS OF NOVA STATSTRIP GLUCOSE LINEARITY SOLUTION AND 6 (SIX) LEVELS OF WHOLE BLOOD SPECIMENS COLLECTED FROM CONSENTING ADULTS. FIVE (5) NOVA STATSTRIP GLUCOSE METERS WERE USED FOR THE STUDY. FOUR (4) MEASUREMENTS WERE PE | CUSTOMER NOTICED A DISCREPANCY ON A BABY BETWEEN THE METER AND THE LAB ANALYZER."
1219029-2026-00029,20260520,Malfunction,STATSTRIP GLUCOSE HOSPITAL METER SYSTEM,"GLUCOSE MONITORING SYSTEM IVD, POINT-OF-CARE",2.0,Overheating of Device,THE ISSUE OF OVERHEATING IS CURRENTLY BEING INVESTIGATED BY NOVA BIOMEDICAL UNDER CAPA CAR 2026-09. PRODUCT WAS RETURNED BY THE FACILITY FOR INVESTIGATION. MULTIPLE ATTEMPTS WERE MADE TO OBTAIN ADDITIONAL INFORMATION REGARDING POSSIBLE INJURY TO THE USER BUT WAS UNSUCCESSFUL. A DHR REVIEW FOR THE REPORTED DEVICE WAS COMPLETED AND ALL SPECIFICATIONS WERE MET PRIOR RELEASE. NOVA WILL CONTINUE TO MONITOR FOR THIS OR SIMILAR EVENTS. A SUPPLEMENTAL REPORT WILL BE SUBMITTED UPON RECEIVING ADDITIONAL INFORMATION | IT WAS REPORTED TO OUR TECHNICAL SERVICE TEAM THAT THE DEVICE OVERHEATED ON THE DOCKING STATION; BURNING THE DOCK PINS AND MELTED THE LATEX GLOVE OF THE USER.
1219029-2026-00030,20260505,Malfunction,STAT PROFILE PHOX ULTRA ABG ANALYZER,"ELECTRODE, ION BASED, ENZYMATIC, CREATININE",,Computer Software Problem,CUSTOMER REPORTED CREATININE OVERLOAD ERRORS PERSISTING ACROSS CALIBRATIONS AND CREATININE MEMBRANE CHANGES. THE CUSTOMER REPORTED A DELAY IN BEING ABLE TO USE THE ANALYZER WHEN NEEDED. | CUSTOMER REPORTED DELAYS IN BEING ABLE TO USE THE ANALYZER DUE TO THE ERROR MESSAGES. AN INVESTIGATION INTO THE ROOT CAUSE OF THE REPORTED ISSUE HAS NOT YET BEEN COMPLETED. A SUPPLEMENTAL REPORT WILL BE ISSUED UPON COMPLETION OF THE INVESTIGATION.
