family,product,doc_type,title,literature_part_number,url
Analyzer,Stat Profile Prime Plus,IFU Manual,Stat Profile Prime Plus - Instructions For Use Manual,LPN 60278 E,https://novabiomedicaldocs.com/wp-content/uploads/filr/26647/LPN_60278_E_Prime_Plus_IFU_instructions.pdf
Analyzer,Stat Profile Prime CCS,IFU Manual,Stat Profile Prime CCS - Instructions For Use Manual,LPN 52920,https://novabiomedicaldocs.com/wp-content/uploads/filr/26698/LPN-52920-Prime-CCS-IFU-EN-Manual-IFU.pdf
Analyzer,Stat Profile Prime ES Comp Plus,IFU Manual,Stat Profile Prime ES Comp Plus - Instructions For Use Manual,LPN 62064,https://novabiomedicaldocs.com/wp-content/uploads/filr/26702/LPN_62064_Prime_ES_Comp_Plus_IFU_EN_Analyzer_Instructions_Manual.pdf.pdf
Analyzer,BioProfile pHOx,IFU Manual,BioProfile pHOx - Instructions For Use Manual,IFU 52942,https://novabiomedicaldocs.com/wp-content/uploads/filr/32214/IFU-52942-BioProfile-pHOx-Analyzer-Instructions-Manual.pdf
Analyzer,BioProfile CDV,IFU Manual,"BioProfile CDV - listed, no file published",,
Analyzer,BioProfile FAST CDV,IFU Manual,BioProfile FAST CDV - Instructions For Use Manual,LPN 65655 C,https://novabiomedicaldocs.com/wp-content/uploads/filr/32301/LPN-65655-C-BioProfile-FAST-CDV-IFU-EN.pdf
Analyzer,Nova Primary Glucose Analyzer,IFU Manual,Nova Primary - Instructions For Use Manual,LPN 63438,https://novabiomedicaldocs.com/wp-content/uploads/filr/26706/LPN_63438_Nova_Primary_Glucose_Analyzer_IFU_EN_Manual_Instructions.pdf
Analyzer,BioProfile FLEX2,IFU Manual,"BioProfile FLEX2 Basic A, B, C - Instructions for Use Manual",LPN 62541 E,https://novabiomedicaldocs.com/wp-content/uploads/filr/32743/LPN-62541-E-BioProfile-FLEX2-Basic-ABC-IFU-EN-Manual.pdf
Analyzer,BioProfile FLEX2,IFU Manual,BioProfile FLEX2 OPC - Instructions For Use Manual,LPN 60644,https://novabiomedicaldocs.com/wp-content/uploads/filr/26729/LPN 60644 -BioProfile-FLEX2-IFU-EN-Manual-OPC.pdf
Analyzer,BioProfile FLEX2,IFU Manual,BioProfile FLEX2 ESM - Instructions For Use Manual,LPN 59698,https://novabiomedicaldocs.com/wp-content/uploads/filr/26709/LPN-59698-BioProfile-FLEX2-ESM-IFU.pdf
Analyzer,BioProfile FLEX2,IFU Manual,BioProfile FLEX2 On-Line Autosampler - Instructions For Use Manual,LPN 63623,https://novabiomedicaldocs.com/wp-content/uploads/filr/26708/LPN 63623 -BioProfile-FLEX2-IFU-EN-Manual-OLS.pdf
Analyzer,BioProfile FLEX2,IFU Manual,BioProfile FLEX2 - Instructions For Use Manual,LPN 57960,https://novabiomedicaldocs.com/wp-content/uploads/filr/26707/LPN-57960-BioProfile-FLEX2-IFU-EN-Manual.pdf
Meter,StatStrip Glucose Hospital (Gen 2),Quick Reference Guide,StatStrip Glucose (Generation 2) - Quick Reference Guide,LPN 65966 C,https://novabiomedicaldocs.com/wp-content/uploads/filr/26781/LPN-65966-C-StatStrip-2.0-Glu-QRG-EN.pdf
Meter,StatStrip Glucose Hospital (Gen 2),IFU Manual,StatStrip Glucose (Generation 2) - Instructions For Use Manual,LPN 65965 D,https://novabiomedicaldocs.com/wp-content/uploads/filr/26780/LPN-65965-D-StatStrip-2.0-Glu-IFU-EN.pdf
Meter,StatStrip Glucose Hospital (Gen 1.86),Quick Reference Guide,StatStrip Glucose (Generation 1.86) - Quick Reference Guide,LPN 55846 J,https://novabiomedicaldocs.com/wp-content/uploads/filr/26783/LPN-55846-J-StatStrip-1.86-Glu-QRG-EN.pdf
Meter,StatStrip Glucose Hospital (Gen 1.86),IFU Manual,StatStrip Glucose (Generation 1.86) - Instructions For Use Manual,LPN 55848 M,https://novabiomedicaldocs.com/wp-content/uploads/filr/26782/LPN-55848-M-StatStrip-1.86-Glu-IFU-EN.pdf
Meter,StatStrip Xpress2 Glucose,Quick Reference Guide,StatStrip Xpress2 - Quick Reference Guide,LPN 57576 E,https://novabiomedicaldocs.com/wp-content/uploads/filr/26789/LPN_57576_E_StatStrip_Xpress_2_Glu_EN_Reference_Manual.pdf
Meter,StatStrip Xpress2 Glucose,IFU Manual,StatStrip Xpress2 - Instructions For Use Manual,LPN 57577 G,https://novabiomedicaldocs.com/wp-content/uploads/filr/26788/LPN_57577_G_StatStrip_Xpress_2_Glu_IFU_EN_Instruction_Manual.pdf
Meter,StatStrip Lactate Hospital,Quick Reference Guide,StatStrip Lactate - Quick Reference Guide,LPN 47643 H,https://novabiomedicaldocs.com/wp-content/uploads/filr/26785/LPN_47643_H_StatStrip_Lac_IFU_EN_Reference_Manual.pdf
Meter,StatStrip Lactate Hospital,IFU Manual,StatStrip Lactate - Instructions For Use Manual,LPN 47632 J,https://novabiomedicaldocs.com/wp-content/uploads/filr/26784/LPN_47632_J_StatStrip_Lac_IFU_EN_Instruction_Manual.pdf
Meter,StatSensor Creatinine Hospital,Quick Reference Guide,StatSensor Creatinine - Quick Reference Guide,LPN 43317 G,https://novabiomedicaldocs.com/wp-content/uploads/filr/26787/LPN_43317_G_StatSensor_Creat_EN_Reference_Manual.pdf
Meter,StatSensor Creatinine Hospital,IFU Manual,StatSensor Creatinine - Instructions For Use Manual,LPN 43177 L,https://novabiomedicaldocs.com/wp-content/uploads/filr/26786/LPN_43177_L-StatSensor_Creat_IFU_EN_Instruction_Manual.pdf
Meter,Lactate Plus,IFU Manual,Lactate Plus - Instructions For Use Manual,LPN 62659 C,https://novabiomedicaldocs.com/wp-content/uploads/filr/32290/LPN-62659-C-Lactate-Plus-Xpress-2-IFU-EN.pdf
