product_code,device_name,device_class,regulation_number,medical_specialty_description,gmp_exempt_flag,implant_flag,life_sustain_support_flag,submission_type_id,definition
CEK,"Biuret (Colorimetric), Total Protein",2,862.1635,Clinical Chemistry,N,N,N,4,
CEM,"Electrode, Ion Specific, Potassium",2,862.1600,Clinical Chemistry,N,N,N,1,
CGA,"Glucose Oxidase, Glucose",2,862.1345,Clinical Chemistry,N,N,N,1,
CGL,"Electrode, Ion Based, Enzymatic, Creatinine",2,862.1225,Clinical Chemistry,N,N,N,1,
CGX,"Alkaline Picrate, Colorimetry, Creatinine",2,862.1225,Clinical Chemistry,N,N,N,1,
CGZ,"Electrode, Ion-Specific, Chloride",2,862.1170,Clinical Chemistry,N,N,N,1,
CHL,"Electrode Measurement, Blood-Gases (Pco2, Po2) And Blood Ph",2,862.1120,Clinical Chemistry,N,N,N,1,
CIG,"Diazo Colorimetry, Bilirubin",2,862.1110,Clinical Chemistry,N,N,N,1,
GGZ,Oxyhemoglobin,2,864.7500,Hematology,N,N,N,1,
GJS,"Test, Time, Prothrombin",2,864.7750,Hematology,N,N,N,1,
GKF,"Instrument, Hematocrit, Automated",2,864.5600,Hematology,N,N,N,1,
GKL,"Counter, Cell, Automated (Particle Counter)",2,864.5200,Hematology,N,N,N,1,
GKZ,"Counter, Differential Cell",2,864.5220,Hematology,N,N,N,1,
GLY,Oximeter To Measure Hemoglobin,2,864.7500,Hematology,N,N,N,1,
JFL,"Ph Rate Measurement, Carbon-Dioxide",2,862.1160,Clinical Chemistry,N,N,N,1,
JFP,"Electrode, Ion Specific, Calcium",2,862.1145,Clinical Chemistry,N,N,N,1,
JGJ,"Photometric Method, Magnesium",1,862.1495,Clinical Chemistry,N,N,N,1,
JGS,"Electrode, Ion Specific, Sodium",2,862.1665,Clinical Chemistry,N,N,N,1,
JIX,"Calibrator, Multi-Analyte Mixture",2,862.1150,Clinical Chemistry,N,N,N,4,
JJC,"Analyzer, Chemistry (Sequential Multiple, Continuous Flow) Clinical Use",1,862.2150,Clinical Chemistry,N,N,N,4,
JJF,"Analyzer, Chemistry, Micro, For Clinical Use",1,862.2170,Clinical Chemistry,N,N,N,4,
JJP,"Electrode, Ion Selective (Non-Specified)",1,862.2050,Clinical Chemistry,Y,N,N,4,
JJS,"Controls For Blood-Gases, (Assayed And Unassayed)",1,862.1660,Clinical Chemistry,N,N,N,4,
JJX,Single (Specified) Analyte Controls (Assayed And Unassayed),1,862.1660,Clinical Chemistry,N,N,N,4,
JJY,"Multi-Analyte Controls, All Kinds (Assayed)",1,862.1660,Clinical Chemistry,N,N,N,4,
KHP,"Acid, Lactic, Enzymatic Method",1,862.1450,Clinical Chemistry,N,N,N,4,
LCP,"Assay, Glycosylated Hemoglobin",2,864.7470,Hematology,N,N,N,1,
LFR,"Glucose Dehydrogenase, Glucose",2,862.1345,Clinical Chemistry,N,N,N,1,
NBW,"System, Test, Blood Glucose, Over The Counter",2,862.1345,Clinical Chemistry,N,N,N,1,
PTC,Uric Acid Test System For At Home Prescription Use,1,862.1775,Clinical Chemistry,N,N,N,1,For the quantitative measurement of uric acid in home use settings by patients diagnosed with gout. This device is for prescription use only.
PZI,Prescription Use Blood Glucose Meter For Near-Patient Testing,2,862.1345,Clinical Chemistry,N,N,N,1,"Intended for use in near-patient testing settings for in vitro diagnostic, multiple-patient use for the quantitative determination of glucose throughout all hospital and all professional healthcare settings for use in determining dysglycemia."
SHB,Creatinine Test System For At Home Prescription Use,2,862.1225,Clinical Chemistry,N,N,N,1,For the quantitative measurement of creatinine in home use settings by patients as an aid to monitor kidney function. This device is for prescription use only.
