brand_name,version_or_model_number,catalog_number,di,issuing_agency,product_codes,device_description,commercial_distribution_status,is_single_use,publish_date,company_name
Nova,SUREFLEX,48738,10385480487389,GS1,NBW,Nova Sureflex Lancets,In Commercial Distribution,true,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,12,15819,00385480158190,GS1,JIX,"NOVA 12, NOVA 14, NOVA 16 DILUTER PACK",In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX/BASIC/PLUS/L/C,21522,00385480215220,GS1,CHL,STAT PROFILE pHOx/BASIC/PLUS/L/C pH SENSOR,In Commercial Distribution,true,2016-09-16,NOVA BIOMEDICAL CORPORATION
Stat Profile,Prime Plus,57825,00385480578257,GS1,CHL,Stat Profile Prime Plus Calibrator Cartridge 100 Sample,In Commercial Distribution,false,2018-11-09,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX PLUS,27803,10385480278031,GS1,CEM; CGZ; GJS; CHL; GKR; JFP; JIX; JPI; CGA,Stat Profile pHOx Plus Analyzer,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PHOX ULTRA/CCX,48903,00385480489034,GS1,JJY,Stat Profile pHOx Ultra/CCX Blood Gas Controls Auto-Cartridge 6/Day,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STATSTRIP,1.0,45886,10385480458860,GS1,JJX; CGA,StatStrip GLU Meter with Quick Reference Guide Remanufactured,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
NOVA,1,11272,00385480112727,GS1,CFA; JPI; JFL; JIX; CGA; CGZ; CEM; CDS; JGS; JJC; CGL; JFP; JPK; NDW,NOVA CLEANING SOLUTION,In Commercial Distribution,false,2016-09-16,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME CCS,53365,00385480533652,GS1,JIX,Prime Calibrator Cartridge CCS Comp 200 Sample,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,PRIME,42043,00385480420433,GS1,CEM; KHP; JGS; JFP; JIX; CHL; CGZ; JJS; CGA; GKF,Prime Reference Cartridge,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
STAT PROFILE,phox Ultra/CCX Co-Ox,48559,00385480485593,GS1,JIX,Stat Profile pHOx Ultra/CCX Co-ox Calibrator Cartridge with Bilirubin and Deproteinizing Solution,In Commercial Distribution,false,2016-09-20,NOVA BIOMEDICAL CORPORATION
